away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
4,16,2,83,300,47,1,1,6,83.33,5,16,PERSIKABO 1973,6,3,12,0,80,349,53,1,2,15,53.33,8,17,RANS NUSANTARA FC,3,"Stadion Maguwoharjo, Sleman",1
6,15,2,80,391,65,0,0,10,42.86,3,14,PERSITA TANGERANG,3,4,22,0,82,216,35,0,2,14,18.18,2,13,PS BARITO PUTERA,4,"Stadion Demang Lehman, Martapura",1
2,18,0,78,198,32,0,1,5,75,3,17,PSS SLEMAN,5,10,17,1,79,433,68,0,0,19,37.5,6,11,BALI UNITED FC,4,"Stadion Kapten I Wayan Dipta, Gianyar",1
1,24,1,78,216,52,0,1,4,100,4,22,MADURA UNITED FC,3,6,12,1,81,204,48,0,1,13,33.33,4,12,PERSIB BANDUNG,2,"Stadion Gelora Bandung Lautan Api, Bandung",1
2,15,2,66,207,43,0,3,10,62.5,5,19,PERSEBAYA SURABAYA,2,3,13,5,82,275,57,0,2,17,61.54,8,29,PERSIS SOLO,4,"Stadion Manahan, Solo",1
4,10,5,72,378,54,0,0,17,66.67,10,17,AREMA FC,2,6,19,1,78,334,46,0,1,12,63.64,7,20,DEWA UNITED FC,1,"Stadion Indomilk Arena, Tangerang",1
4,16,3,71,369,62,0,1,12,55.56,5,13,BORNEO FC SAMARINDA,2,2,15,2,94,235,38,0,1,9,80,4,17,PERSIK KEDIRI,4,"Stadion Brawijaya, Kediri",1
3,23,1,77,222,37,0,1,5,50,2,6,BHAYANGKARA PRESISI INDONESIA FC,3,7,13,1,91,387,63,0,3,21,41.18,7,15,PSIS SEMARANG,4,"Stadion Jatidiri, Semarang",1
4,21,2,78,108,20,0,1,5,100,1,27,PSM MAKASSAR,5,4,15,0,78,446,80,0,1,9,80,4,11,PERSIJA JAKARTA,3,"Stadion Gelora Bung Karno, Jakarta Pusat",1
6,17,3,96,325,58,0,2,13,30,3,11,RANS NUSANTARA FC,4,3,11,5,80,244,42,0,1,15,36.36,4,10,BHAYANGKARA PRESISI INDONESIA FC,1,"Stadion Patriot Chandra Bhaga, Bekasi",2
5,16,1,94,407,66,0,0,12,8.33,1,28,PERSIJA JAKARTA,2,5,16,0,95,216,34,0,0,11,40,2,24,PERSIKABO 1973,2,"Stadion Pakansari, Kab. Bogor",2
0,17,0,66,280,37,0,1,8,62.5,5,20,PS BARITO PUTERA,3,4,10,0,68,481,63,0,1,7,80,4,18,PERSEBAYA SURABAYA,2,"Stadion Gelora Bung Tomo, Surabaya",2
1,10,1,75,165,28,0,2,7,40,2,15,PERSIK KEDIRI,4,7,12,3,64,442,72,0,3,23,73.68,14,18,MADURA UNITED FC,1,"Stadion Gelora Madura Ratu Pamelingan, Pamekasan",2
7,13,4,122,194,45,0,0,9,33.33,2,17,PSIS SEMARANG,1,7,28,2,102,238,55,0,2,15,53.85,7,19,PERSITA TANGERANG,4,"Stadion Indomilk Arena, Tangerang",2
7,20,2,85,184,49,0,1,6,40,2,7,BALI UNITED FC,1,8,17,3,71,192,51,0,3,18,53.85,7,8,BORNEO FC SAMARINDA,5,"Stadion Segiri, Samarinda",2
4,16,2,75,420,74,0,2,9,57.14,4,6,DEWA UNITED FC,4,6,14,0,77,148,26,1,1,12,40,4,14,PSM MAKASSAR,1,"Stadion Gelora B. J. Habibie, Pare-pare",2
10,17,1,91,278,53,0,3,17,50,5,19,PERSIB BANDUNG,4,4,10,2,67,251,47,0,3,10,44.44,4,17,AREMA FC,3,"Stadion Kapten I Wayan Dipta, Gianyar",2
7,21,2,87,183,47,0,2,13,33.33,3,22,PERSIS SOLO,2,6,15,1,73,211,53,0,2,8,62.5,5,21,PSS SLEMAN,3,"Stadion Maguwoharjo, Sleman",2
2,10,6,69,332,44,0,1,14,53.85,7,20,BHAYANGKARA PRESISI INDONESIA FC,0,3,14,1,69,424,56,0,4,11,62.5,5,9,PERSIJA JAKARTA,2,"Stadion Patriot Chandra Bhaga, Bekasi",3
1,19,3,62,345,52,0,0,4,25,1,14,PERSEBAYA SURABAYA,3,3,17,0,73,319,48,0,2,12,33.33,3,28,PSIS SEMARANG,3,"Stadion Jatidiri, Semarang",3
3,20,1,64,334,53,2,1,12,40,4,14,MADURA UNITED FC,5,8,17,7,74,297,47,1,2,14,50,7,13,BALI UNITED FC,7,"Stadion Kapten I Wayan Dipta, Gianyar",3
9,15,1,76,325,65,0,1,14,33.33,4,11,BORNEO FC SAMARINDA,3,3,15,1,76,180,35,0,2,10,60,3,16,PERSIS SOLO,3,"Stadion Manahan, Solo",3
5,20,3,96,279,60,0,1,15,28.57,4,19,PERSITA TANGERANG,3,2,26,1,94,189,40,1,0,12,37.5,3,22,RANS NUSANTARA FC,4,"Stadion Maguwoharjo, Sleman",3
6,12,4,87,326,61,0,2,10,60,3,12,AREMA FC,2,12,19,2,61,215,39,0,5,17,53.85,7,13,PERSIK KEDIRI,0,"Stadion Brawijaya, Kediri",3
6,14,0,74,315,54,0,2,7,100,5,28,DEWA UNITED FC,4,11,11,0,64,269,46,1,2,15,75,9,15,PERSIB BANDUNG,3,"Stadion Gelora Bandung Lautan Api, Bandung",3
6,17,2,78,167,31,1,1,12,62.5,5,18,PSM MAKASSAR,3,5,8,5,77,374,69,0,0,9,42.86,3,9,PERSIKABO 1973,3,"Stadion Pakansari, Kab. Bogor",3
1,16,0,56,258,48,0,1,12,71.43,5,22,PSS SLEMAN,3,1,15,0,69,281,52,0,3,17,42.86,6,20,PS BARITO PUTERA,2,"Stadion Demang Lehman, Martapura",3
5,16,5,64,258,60,0,3,15,50,5,15,PERSIS SOLO,4,3,13,1,71,176,40,0,4,19,46.67,7,18,MADURA UNITED FC,2,"Stadion Gelora Madura Ratu Pamelingan, Pamekasan",4
2,21,1,67,235,41,0,2,15,53.85,7,19,RANS NUSANTARA FC,3,3,19,2,83,345,59,0,2,8,66.67,4,19,PERSEBAYA SURABAYA,1,"Stadion Gelora Bung Tomo, Surabaya",4
6,12,2,77,328,58,0,3,13,66.67,6,20,PERSIKABO 1973,3,7,15,0,79,238,42,0,1,8,60,3,18,BHAYANGKARA PRESISI INDONESIA FC,3,"Stadion Patriot Chandra Bhaga, Bekasi",4
4,15,3,92,342,63,0,2,10,55.56,5,15,PERSIB BANDUNG,4,4,8,2,85,201,37,0,4,13,50,6,20,PSM MAKASSAR,3,"Stadion Gelora B. J. Habibie, Pare-pare",4
3,13,3,91,237,42,0,0,2,0,0,26,PERSIJA JAKARTA,3,7,15,0,78,339,58,0,1,13,37.5,3,21,PERSITA TANGERANG,3,"Stadion Indomilk Arena, Tangerang",4
3,9,2,70,304,49,0,0,9,50,4,18,PERSIK KEDIRI,3,4,14,2,56,329,51,0,3,19,40,6,20,DEWA UNITED FC,2,"Stadion Indomilk Arena, Tangerang",4
12,21,2,75,342,56,0,3,11,66.67,6,16,BALI UNITED FC,3,14,15,0,87,279,44,0,1,15,63.64,7,20,AREMA FC,0,"Stadion Kapten I Wayan Dipta, Gianyar",4
1,9,2,80,243,47,0,1,10,42.86,3,16,PS BARITO PUTERA,1,9,22,3,71,281,53,0,2,15,41.67,5,21,BORNEO FC SAMARINDA,2,"Stadion Segiri, Samarinda",4
5,14,3,61,271,46,1,2,13,62.5,5,17,PSIS SEMARANG,3,6,15,3,66,330,54,1,2,16,50,7,13,PSS SLEMAN,3,"Stadion Maguwoharjo, Sleman",4
7,19,1,72,221,51,0,2,11,60,6,16,MADURA UNITED FC,2,5,13,3,93,217,49,0,1,22,23.53,4,20,PS BARITO PUTERA,2,"Stadion Demang Lehman, Martapura",5
4,11,1,67,278,39,1,0,13,9.09,1,23,PERSEBAYA SURABAYA,3,3,16,2,75,438,61,0,1,17,41.67,5,25,PERSIJA JAKARTA,2,"Stadion Gelora Bung Karno, Jakarta Pusat",5
3,22,1,94,235,41,0,1,11,50,4,21,AREMA FC,3,10,14,0,91,352,59,0,1,21,75,12,19,PERSIS SOLO,2,"Stadion Sriwedari, Solo",5
5,22,3,98,260,52,0,0,5,20,1,20,PSS SLEMAN,2,6,24,2,97,240,48,0,0,19,40,4,11,RANS NUSANTARA FC,3,"Stadion Maguwoharjo, Sleman",5
7,10,0,91,231,34,0,0,9,0,0,22,PSM MAKASSAR,4,8,10,3,77,453,66,0,0,17,26.67,4,16,BHAYANGKARA PRESISI INDONESIA FC,3,"Stadion Patriot Chandra Bhaga, Bekasi",5
5,13,0,69,338,55,0,1,16,50,7,18,DEWA UNITED FC,4,14,17,3,76,277,45,0,3,17,58.82,10,18,BALI UNITED FC,2,"Stadion Kapten I Wayan Dipta, Gianyar",5
4,15,1,84,361,73,0,2,12,40,4,15,PERSIB BANDUNG,3,5,12,0,108,135,27,1,1,9,71.43,5,29,PERSIK KEDIRI,3,"Stadion Brawijaya, Kediri",5
5,17,4,75,398,64,0,2,11,83.33,5,17,PERSITA TANGERANG,3,5,16,0,75,228,36,0,2,14,45.45,5,14,PERSIKABO 1973,3,"Stadion Wibawa Mukti, Bekasi",5
7,21,4,92,261,42,0,0,5,40,2,15,BORNEO FC SAMARINDA,1,4,8,2,80,372,58,0,0,7,66.67,4,15,PSIS SEMARANG,0,"Stadion Jatidiri, Semarang",5
7,15,2,86,219,36,0,0,9,60,3,24,PSIS SEMARANG,3,4,10,1,51,394,64,0,1,14,53.85,7,15,MADURA UNITED FC,1,"Stadion Gelora Bangkalan, Bangkalan",6
1,12,2,77,304,44,0,4,13,58.33,7,21,PS BARITO PUTERA,2,3,13,2,75,394,56,0,0,13,12.5,1,16,AREMA FC,1,"Stadion Kapten I Wayan Dipta, Gianyar",6
5,15,1,83,195,45,0,1,14,16.67,2,20,RANS NUSANTARA FC,1,3,12,4,102,240,55,0,1,10,75,6,23,BORNEO FC SAMARINDA,2,"Stadion Segiri, Samarinda",6
7,17,4,66,398,57,0,3,15,45.45,5,20,PERSIJA JAKARTA,1,8,17,1,84,304,43,0,1,12,50,4,18,PSS SLEMAN,1,"Stadion Maguwoharjo, Sleman",6
